source_row	gene_symbol	source_genetic_defect	disease	inheritance	mechanism	is_dominant	is_recessive	is_x_linked	omim	major_category	subcategory
2		11q23del	Chromosome 11q deletion syndrome (Jacobsen syndrome)	AD		true	false	false	147791	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies
3		14q32 deletion or mutation	Ig heavy chain mutations and deletions	AR		false	true	false		Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells
4	ACD	ACD	DKCA6	AD		true	false	false	616553	Table 9 Bone marrow failure	
5	ACD	ACD	DKCA6	AR		false	true	false	616553	Table 9 Bone marrow failure	
6	ACP5	ACP5	Spondyloenchondro-dysplasia with immune dysregulation (SPENCD)	AR		false	true	false	171640	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies
7	ACTB	ACTB	b actin deficiency	AD		true	false	false	102630	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility
8	ADA	ADA	Adenosine deaminase (ADA) deficiency	AR		false	true	false	608958	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID
9	ADA2	ADA2	ADA2 deficiency	AR		false	true	false	607575	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies
10	ADAM17	ADAM17	ADAM17 deficiency	AR		false	true	false	614328	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
11	ADAR	ADAR1	ADAR1 deficiency, AGS6	AR		false	true	false	146920	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies
12	AICDA	AICDA	AID deficiency	AR		false	true	false	605257	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM
13	AICDA	AICDA	AID deficiency	AD		true	false	false	605257*	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM
