gene_symbol	ensembl_gene_id	transcript_id	mane_select	canonical	pLI	loeuf	missense_z	lof_oe	lof_observed	lof_expected	gene_flags	constraint_flags	exome_prop_bp_an90	exome_prop_segdup	exome_prop_lcr
A1BG	ENSG00000121410	ENST00000263100	true	true	6.7352e-15	1.2292e+00	-2.9516e-01	9.5603e-01	44	4.6024e+01			9.5354e-01	0.0000e+00	0.0000e+00
A1CF	ENSG00000148584	ENST00000373997	true	true	1.1472e-11	8.8662e-01	1.0479e+00	6.9706e-01	48	6.8861e+01			1.0000e+00	0.0000e+00	0.0000e+00
A2M	ENSG00000175899	ENST00000318602	true	true	2.3775e-29	8.0586e-01	2.9519e+00	6.9587e-01	128	1.8394e+02			9.9525e-01	0.0000e+00	0.0000e+00
A2ML1	ENSG00000166535	ENST00000299698	true	true	4.8940e-48	1.0088e+00	9.9517e-01	8.8516e-01	161	1.8189e+02			1.0000e+00	0.0000e+00	0.0000e+00
A3GALT2	ENSG00000184389	ENST00000442999	true	true	5.6308e-05	1.3185e+00	-2.1000e+00	8.4338e-01	14	1.6600e+01			8.9118e-01	0.0000e+00	0.0000e+00
A4GALT	ENSG00000128274	ENST00000642412	true	true			-5.0238e-01					no_exp_lof	9.6412e-01	0.0000e+00	0.0000e+00
A4GNT	ENSG00000118017	ENST00000236709	true	true	1.7440e-02	1.4218e+00	8.3536e-01	7.2034e-01	6	8.3294e+00			1.0000e+00	0.0000e+00	0.0000e+00
AAAS	ENSG00000094914	ENST00000209873	true	true	1.2767e-16	9.8362e-01	4.7080e-01	7.9336e-01	60	7.5628e+01			1.0000e+00	0.0000e+00	0.0000e+00
AACS	ENSG00000081760	ENST00000316519	true	true	7.6017e-20	1.0149e+00	2.3219e-01	8.3061e-01	69	8.3071e+01			9.9901e-01	0.0000e+00	0.0000e+00
AADAC	ENSG00000114771	ENST00000232892	true	true	3.4403e-05	1.1209e+00	1.7418e-01	7.4730e-01	17	2.2749e+01			1.0000e+00	0.0000e+00	0.0000e+00
AADACL2	ENSG00000197953	ENST00000356517	true	true	9.2242e-09	1.4603e+00	2.1126e-01	1.0307e+00	23	2.2315e+01			1.0000e+00	0.0000e+00	0.0000e+00
AADACL3	ENSG00000188984	ENST00000359318	true	true	3.7780e-05	1.5179e+00	-3.7708e-01	9.5469e-01	13	1.3617e+01			9.4922e-01	0.0000e+00	9.0090e-03
AADACL4	ENSG00000204518	ENST00000376221	true	true	8.4369e-03	1.1158e+00	-2.8041e-01	6.3942e-01	9	1.4075e+01			1.0000e+00	0.0000e+00	0.0000e+00
AADAT	ENSG00000109576	ENST00000337664	true	true	3.6927e-02	6.2081e-01	2.3316e+00	4.4450e-01	25	5.6243e+01			1.0000e+00	0.0000e+00	0.0000e+00
AAGAB	ENSG00000103591	ENST00000261880	true	true	7.6994e-12	1.1303e+00	-1.6811e+00	8.6231e-01	38	4.4067e+01			1.0000e+00	0.0000e+00	0.0000e+00
AAK1	ENSG00000115977	ENST00000409085	true	true	9.9999e-01	4.1948e-01	3.1365e+00	3.1886e-01	37	1.1604e+02			9.9757e-01	0.0000e+00	1.5609e-02
AAMDC	ENSG00000087884	ENST00000393427	true	true	2.0220e-06	1.5688e+00	1.3714e-01	1.0329e+00	16	1.5491e+01			1.0000e+00	0.0000e+00	0.0000e+00
AAMP	ENSG00000127837	ENST00000248450	true	true	9.9996e-01	3.8061e-01	2.5151e+00	2.3491e-01	12	5.1083e+01			1.0000e+00	0.0000e+00	0.0000e+00
AANAT	ENSG00000129673	ENST00000392492	true	true	1.5116e-03	1.1683e+00	2.5507e-01	7.0585e-01	11	1.5584e+01			1.0000e+00	0.0000e+00	0.0000e+00
AAR2	ENSG00000131043	ENST00000320849	true	true	1.8883e-12	1.5529e+00	1.1791e+00	1.1506e+00	31	2.6942e+01			1.0000e+00	0.0000e+00	0.0000e+00
AARD	ENSG00000205002	ENST00000378279	true	true	6.1760e-04	1.6874e+00	-7.5710e-01	9.6699e-01	9	9.3073e+00			9.2688e-01	0.0000e+00	5.8065e-02
AARS1	ENSG00000090861	ENST00000261772	true	true	8.9472e-16	8.0440e-01	4.8778e-01	6.6116e-01	72	1.0890e+02			1.0000e+00	0.0000e+00	0.0000e+00
AARS2	ENSG00000124608	ENST00000244571	true	true	1.2266e-16	7.8689e-01	1.5945e+00	6.5180e-01	78	1.1967e+02			1.0000e+00	0.0000e+00	0.0000e+00
AARSD1	ENSG00000266967	ENST00000427569	true	true	3.8859e-14	1.1614e+00	2.2541e-01	9.0327e-01	44	4.8712e+01			1.0000e+00	0.0000e+00	0.0000e+00
AASDH	ENSG00000157426	ENST00000205214	true	true	5.2561e-22	9.5200e-01	7.5737e-01	7.9137e-01	81	1.0235e+02			9.9484e-01	0.0000e+00	3.6430e-03
AASDHPPT	ENSG00000149313	ENST00000278618	true	true	2.2188e-05	8.9466e-01	2.6383e-02	6.3149e-01	23	3.6422e+01			1.0000e+00	0.0000e+00	0.0000e+00
AASS	ENSG00000008311	ENST00000417368	true	true	4.8684e-24	9.7647e-01	1.2014e+00	8.1618e-01	86	1.0537e+02			9.9640e-01	0.0000e+00	0.0000e+00
AATF	ENSG00000275700	ENST00000619387	true	true	8.5421e-13	9.5830e-01	7.6099e-01	7.5341e-01	48	6.3710e+01			1.0000e+00	0.0000e+00	0.0000e+00
AATK	ENSG00000181409	ENST00000326724	true	true	9.6002e-25	9.4770e-01	-2.0284e+00	7.9613e-01	91	1.1430e+02			8.8671e-01	0.0000e+00	0.0000e+00
ABAT	ENSG00000183044	ENST00000268251	true	true	5.5354e-11	8.9253e-01	4.2226e-01	6.9614e-01	45	6.4642e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCA1	ENSG00000165029	ENST00000374736	true	true	5.5124e-15	5.8506e-01	2.6343e+00	5.0662e-01	133	2.6252e+02			9.9661e-01	0.0000e+00	0.0000e+00
ABCA10	ENSG00000154263	ENST00000690296	true	true	1.7034e-51	1.0238e+00	8.5577e-01	9.0118e-01	169	1.8753e+02			9.9870e-01	0.0000e+00	0.0000e+00
ABCA12	ENSG00000144452	ENST00000272895	true	true	1.5950e-20	6.0699e-01	2.2496e+00	5.3149e-01	156	2.9352e+02			9.9987e-01	0.0000e+00	0.0000e+00
ABCA13	ENSG00000179869	ENST00000435803	true	true	3.6622e-161	1.0726e+00	-8.2882e-01	9.9427e-01	476	4.7874e+02			9.9440e-01	0.0000e+00	0.0000e+00
ABCA2	ENSG00000107331	ENST00000341511	true	true	1.0000e+00	3.8317e-01	5.4365e+00	3.1959e-01	84	2.6284e+02			9.7496e-01	0.0000e+00	0.0000e+00
ABCA3	ENSG00000167972	ENST00000301732	true	true	1.9167e-10	6.0789e-01	1.2180e+00	5.0915e-01	88	1.7284e+02			9.9844e-01	0.0000e+00	0.0000e+00
ABCA4	ENSG00000198691	ENST00000370225	true	true	2.7091e-48	8.3664e-01	5.0352e-01	7.4320e-01	196	2.6372e+02			9.9457e-01	0.0000e+00	0.0000e+00
ABCA5	ENSG00000154265	ENST00000392676	true	true	3.2405e-43	9.0093e-01	5.2590e-01	7.9115e-01	163	2.0603e+02			9.7868e-01	0.0000e+00	1.8067e-02
ABCA6	ENSG00000154262	ENST00000284425	true	true	3.4617e-47	9.7655e-01	-6.2655e-01	8.5790e-01	164	1.9116e+02			9.8825e-01	0.0000e+00	0.0000e+00
ABCA7	ENSG00000064687	ENST00000263094	true	true	1.3812e-100	1.2705e+00	-3.2055e+00	1.1467e+00	261	2.2761e+02			9.9922e-01	0.0000e+00	0.0000e+00
ABCA8	ENSG00000141338	ENST00000586539	true	true	2.6103e-55	1.0428e+00	-9.9613e-02	9.2061e-01	177	1.9226e+02			9.8787e-01	0.0000e+00	0.0000e+00
